secant method converge!
    step      x0        f(x0)      x1       f(x1)      xa       f(xa)     acc
    1        -10.00000000000000        96.00000000000000         -9.90000000000000         94.01000000000001         -5.17587939698493         22.78972753213307          0.91271844660194
    2         -9.90000000000000        94.01000000000001         -5.17587939698493         22.78972753213307         -3.66421119296024          9.42644366661508          0.41254942043978
    3         -5.17587939698493        22.78972753213307         -3.66421119296024          9.42644366661508         -2.59788233912057          2.74899264791455          0.41046079638874
    4         -3.66421119296024         9.42644366661508         -2.59788233912057          2.74899264791455         -2.15889294462631          0.66081874635726          0.20334004777168
    5         -2.59788233912057         2.74899264791455         -2.15889294462631          0.66081874635726         -2.01997136289526          0.08028430691695          0.06877403525757
    6         -2.15889294462631         0.66081874635726         -2.01997136289526          0.08028430691695         -2.00075937106953          0.00303806092255          0.00960235003946
    7         -2.01997136289526         0.08028430691695         -2.00075937106953          0.00303806092255         -2.00000377187039          0.00001508749579          0.00037779888707
    8         -2.00075937106953         0.00303806092255         -2.00000377187039          0.00001508749579         -2.00000000071593          0.00000000286370          0.00000188557723
    9         -2.00000377187039         0.00001508749579         -2.00000000071593          0.00000000286370         -2.00000000000000          0.00000000000000          0.00000000035796
